Text;Sentimen
Sementara dari 22 sirkuit yang dipergunakan sirkuit Mandalika berada di peringkat ke18 dengan panjang lintasan mencapai 4310 meter;positif
Jadwal dan lintasan balap untuk MotoGP musim 2022 telah dirilis beberapa waktu lalu Musim balap 2022 memiliki beberapa keunikan tersendiri termasuk masuknya sirkuit Mandalika ke dalam kalender gelaran MotoGP musim 2022;positif
Wuih Media Jerman Sebut Sirkuit Mandalika Jadi Surga Baru Untuk Balapan WSBK;positif
Sebelum Presiden Jokowi Menyelesaikan Masa Baktinya di 2024 Kita akan Mendengar Raungan Mobil Balap FORMULA1 di Sirkuit…;positif
Coba tuh  usut kemelut pembebasan tanah untuk sirkuit Mandalika kasihan tuh rakyat yg tanahnya kena gus…;negatif
Saat SE Go Li Wet Mencoba sirkuit mandalika;positif
Di Balik Kemegahan Sirkuit Mandalika Korban Gusuran Meronta karena Belum Diganti Rugi;negatif
Bg g ikutan mandi di sirkuit mandalika;negatif
Berharap dapat meningkatkan perekonomian masyarakat;positif
Balapan di Mandalika Pembalap Argentina Aku Menderita Aku Membusuk;negatif
Lombok Sukses dengan Sirkuit Mandalika Bali Bagaimana;positif
Indonesia menjadi tuan rumah pasa ajang balap motor bergengsi rider papan atas pada World Superbike WSBK di Sirkuit Man…;positif
Opo Iki seng jeneng e sirkuit Mandalika versi bjn;negatif
Di Kabinet pada nyari muka untuk 2024 nih kayanyalanjutken kejar kejerannya bila perlu di sirkuit MANDALIKA;negatif
Viral Aksi Freestyle Motor di Sirkuit Mandalika Netizen Geram Kok Bisa Masuk;negatif
Gubernur NTB Bang Zul bakal ke Abu Dhabi perjuangkan ajang F1 bisa digelar di Sirkuit Mandalika setelah MotoGP dan MXGP digelar di NTB;positif
Kemaren lomba2 bikin sirkuit international buat kampanye sekarang sirkuit Mandalika udah jadi berubah haluan lomba2 bikin stadion;negatif
VIDEO Viral Aksi Akrobat Motor di Sirkuit Mandalika Bikin Warganet Geram;negatif
Presiden Jokowi didampingi Menteri BUMN Erick Thohir telah meresmikan Sirkuit Mandalika di Lombok pada Jumat 12 November 2021;positif
Suksesnya WSBK di Sirkuit Mandalika jadi motivasi TGUPP DKI Bambang Widjojanto dukung Formula E BW mengatakan Pemprov DKI ingin contoh kesuksesan WSBK;positif
Lu kira sirkuit Mandalika gk ada masalahhw yakin klo kok periksa pasti ada korupsi n buang2 anggarannoh sirkuitnya banjir lambe lu mingkemada jg noh penduduk yg blm kelar ganti ruginya msh tingal ditengah sirkuit lu jg mingkemotak dipakai mikir BKN cm buat pajangan;negatif
ngomong sama kentut itu Sirkuit Mandalika dan kereta apai Cepat itu pa ngga buang2 anggaran Bong;negatif
Indinesia lombok mandalika sirkuit ntb;positif
Pemandangan alamnya gak perlu diragukan lagi;positif
Pakai sirkuit mandalika apa gak bisa bos Ajang Formula E Maaf bila;negatif
