Name;Brand;Price;Processor;RAM;Memory;Screen;Performance;Camera;Connectivity;Battery
;;;;;;;;;;
Samsung Galaxy A11;Samsung;1.456.000;Snapdragon;3;32;3.6;5.3;5.1;4.8;6.2
Samsung Galaxy M11;Samsung;1.495.000;Snapdragon;3;32;3.2;5.4;5.1;5.7;7.9
Samsung Galaxy J7;Samsung;1.999.000;Exynos;2;16;4.0;4.7;4.3;5.9;5.5
Sharp Aquos V SH-C02;Sharp;1.874.000;Snapdragon;4;64;6.7;6.2;5.5;5.8;4.8
Vivo Y20;Vivo;1.900.000;Snapdragon;3;64;3.6;6.3;4.8;5.2;8.2
Vivo Y12S;Vivo;1.899.000;Snapdragon;2;32;3.6;5.7;4.5;5.5;7.9
Vivo Y91C;Vivo;1.599.000;Mediatek;2;32;5.6;5.1;3.8;4.0;5.9
Redmi 9A;Xiaomi;1.209.000;Mediatek;2;32;6.5;6.3;6.0;7.6;8.9
Redmi 9C;Xiaomi;1.550.000;Mediatek;3;32;4.5;5.8;4.7;6.1;7.8
Redmi 9T;Xiaomi;2.000.000;Snapdragon;4;64;7.0;6.6;7.1;7.5;8.9
